file,pitch_mean_hz,pitch_range_hz,speech_rate_zcr,prosodic_rhythm_cv,pause_freq,duration_s
S3005,389.88,399.93,0.0638,1.4157,0.4979,120.0
S3006_1,385.01,399.97,0.0506,2.7555,0.7518,120.0
S3006_2,392.96,399.84,0.0503,1.3218,0.3878,120.0
S3007,386.93,399.96,0.0498,1.6857,0.571,120.0
S3101,374.55,400.0,0.0627,1.428,0.7518,120.0
S3102_1,383.06,399.96,0.0788,1.3004,0.7656,120.0
S3102_2,391.03,399.97,0.0463,6.7558,0.9883,120.0
S3104,387.66,399.97,0.0622,1.348,0.7579,120.0
S4004_1,384.36,400.0,0.0552,1.5984,0.8873,120.0
S4004_2,389.84,400.0,0.0613,1.7802,0.932,120.0
S4006_1,392.04,399.97,0.0628,5.2179,0.9313,120.0
S4006_2,393.04,399.98,0.0483,5.3168,0.9564,120.0
S4009,380.91,399.97,0.0685,1.7618,0.5895,120.0
S4107,392.51,399.92,0.0658,1.7943,0.5694,120.0
S4108,374.43,399.98,0.0649,1.7371,0.62,120.0
S5005,385.63,399.99,0.0376,1.4048,0.8629,120.0
S5009,390.05,400.0,0.0802,1.6235,0.5376,120.0
S5101,394.29,399.9,0.0538,4.8696,0.9296,120.0
S5107,398.09,399.95,0.0937,1.5055,0.4919,120.0
S5108,369.74,399.95,0.0486,1.8115,0.5652,120.0
S6001,392.88,399.94,0.0481,1.6957,0.6842,120.0
S6006,387.1,399.98,0.0699,1.8201,0.8357,120.0
S6011,387.21,399.95,0.0875,2.1031,0.664,120.0
S6107,393.07,399.97,0.0705,9.335,0.9885,120.0
S6108,395.55,399.97,0.0832,1.4654,0.493,120.0
S7007,392.73,399.99,0.0436,1.0864,0.7746,120.0
S7008,402.95,399.99,0.0499,0.9531,0.6166,120.0
S7010,391.53,399.97,0.0867,1.9659,0.5991,120.0
S7103,391.01,399.99,0.0788,1.5104,0.8715,120.0
S7104,385.32,399.94,0.0497,1.3452,0.5422,120.0
S7109,390.95,399.97,0.0928,8.9023,0.9939,120.0
